,Tweet,stweets,puretext,emojis,c_emojis,Affect Dimension
60698,can check date ill search  😅 ,can check date ill search   😅  ,can check date ill search   ,😅,😅,1
60700,sleep  😅 ,sleep   😅  ,sleep   ,😅,😅,1
60704,real happiness comes person truly love  😍 ,real happiness comes person truly love   😍  ,real happiness comes person truly love   ,😍,😍,1
60705,ur welcome buddy u awesome  😘 ,ur welcome buddy u awesome   😘  ,ur welcome buddy u awesome   ,😘,😘,1
60707,warehouse floor work theres beautiful smooth concrete  😭 ,warehouse floor work theres beautiful smooth concrete   😭  ,warehouse floor work theres beautiful smooth concrete   ,😭,😭,1
60715,hello world finally ready  😊 ,hello world finally ready   😊  ,hello world finally ready   ,😊,😊,1
60719, 😍  this funny,  😍   this funny,   this funny,😍,😍,1
60723,shaking  😅  obviously new money,shaking   😅   obviously new money,shaking    obviously new money,😅,😅,1
60736,beautiful  😘 ,beautiful   😘  ,beautiful   ,😘,😘,1
60737,my seen sad i n pay rent comes home til straight blessed  ❤️ ,my seen sad i n pay rent comes home til straight blessed   ❤ ️ ,my seen sad i n pay rent comes home til straight blessed  ️ ,❤,❤,1
60740,aint like good leg workout start day  🤘 ,aint like good leg workout start day   🤘  ,aint like good leg workout start day   ,🤘,,1
60747,forever life  😍  blessed,forever life   😍   blessed,forever life    blessed,😍,😍,1
60748,when i watch sport times best sound proof box animated  😂   😂 ,when i watch sport times best sound proof box animated   😂     😂  ,when i watch sport times best sound proof box animated      ,😂 😂,😂 😂,1
60753,hi  👋  how getting new phone did manage number  😃 ,hi   👋   how getting new phone did manage number   😃  ,hi    how getting new phone did manage number   ,👋 😃,😃,1
60758,i left primary school ago  😱  primary school best school life,i left primary school ago   😱   primary school best school life,i left primary school ago    primary school best school life,😱,😱,1
60762,dont miss today yummy  😆 ,dont miss today yummy   😆  ,dont miss today yummy   ,😆,😆,1
60764,you  😊  warbler glee,you   😊   warbler glee,you    warbler glee,😊,😊,1
60773,ha brilliant  😂  its  🙁 ,ha brilliant   😂   its   🙁  ,ha brilliant    its   ,😂 🙁,😂,1
60777, 😍  great,  😍   great,   great,😍,😍,1
60784,i better bring washing yere laughing  😆  stock  👍 ,i better bring washing yere laughing   😆   stock   👍  ,i better bring washing yere laughing    stock   ,😆 👍,😆,1
60785,hey lost credibility told  🤣 ,hey lost credibility told   🤣  ,hey lost credibility told   ,🤣,,1
60787,are pretty awesome valid point so saving ahead moving away home  😂 ,are pretty awesome valid point so saving ahead moving away home   😂  ,are pretty awesome valid point so saving ahead moving away home   ,😂,😂,1
60788,unrelated i i think south park episode obsession food network  😃 ,unrelated i i think south park episode obsession food network   😃  ,unrelated i i think south park episode obsession food network   ,😃,😃,1
60794,welcome  😃 ,welcome   😃  ,welcome   ,😃,😃,1
60797,bad food  😂 ,bad food   😂  ,bad food   ,😂,😂,1
60810,fourth visit row wow amazing cant believe i brilliant  🦇 ,fourth visit row wow amazing cant believe i brilliant   🦇  ,fourth visit row wow amazing cant believe i brilliant   ,🦇,,1
60812,doing daily  🙌🏽  joy life its truly amazing study amen,doing daily   🙌  🏽   joy life its truly amazing study amen,doing daily    joy life its truly amazing study amen,🙌 🏽,,1
60823,one clips  😂 ,one clips   😂  ,one clips   ,😂,😂,1
60827,room listen laugh  😂 ,room listen laugh   😂  ,room listen laugh   ,😂,😂,1
60828,lovely  😀 ,lovely   😀  ,lovely   ,😀,😀,1
60834,extremely sad parody time  😭  need laugh,extremely sad parody time   😭   need laugh,extremely sad parody time    need laugh,😭,😭,1
60837,happy birthday  ❤️  blessed,happy birthday   ❤ ️  blessed,happy birthday  ️  blessed,❤,❤,1
60840,use separate sheet necessary  😆 ,use separate sheet necessary   😆  ,use separate sheet necessary   ,😆,😆,1
60842,wow spotted human alive blessed  😍 ,wow spotted human alive blessed   😍  ,wow spotted human alive blessed   ,😍,😍,1
60858,its morning dry ass  😂 ,its morning dry ass   😂  ,its morning dry ass   ,😂,😂,1
60859,happy although fried thing i like have beautiful  ❤ ,happy although fried thing i like have beautiful   ❤  ,happy although fried thing i like have beautiful   ,❤,❤,1
60861,start use so and smile confidence  ❤ ,start use so and smile confidence   ❤  ,start use so and smile confidence   ,❤,❤,1
60864,absolutely happy blessed  ❤️ ,absolutely happy blessed   ❤ ️ ,absolutely happy blessed  ️ ,❤,❤,1
60865,glad  😊 ,glad   😊  ,glad   ,😊,😊,1
60868, 😂  hell,  😂   hell,   hell,😂,😂,1
60869,i dont know able care boy pun dah  😅 ,i dont know able care boy pun dah   😅  ,i dont know able care boy pun dah   ,😅,😅,1
60873,is weird look creative work know good  🤷🏻‍♀️  does sense  😂  design,is weird look creative work know good   🤷  🏻 ‍ ♀ ️  does sense   😂   design,is weird look creative work know good  ‍️  does sense    design,🤷 🏻 ♀ 😂,😂,1
60875,i i ready n classes pleasant  😭 ,i i ready n classes pleasant   😭  ,i i ready n classes pleasant   ,😭,😭,1
60880,i look forward  ☺️  positive,i look forward   ☺ ️  positive,i look forward  ️  positive,☺,☺,1
60890,i didnt know sheer utter joy contentment i grateful  🙏🏽 ,i didnt know sheer utter joy contentment i grateful   🙏  🏽  ,i didnt know sheer utter joy contentment i grateful   ,🙏 🏽,,1
60891,great way end  😄 ,great way end   😄  ,great way end   ,😄,😄,1
60892,when leaving work husband sound asleep bed  😅  i stay home,when leaving work husband sound asleep bed   😅   i stay home,when leaving work husband sound asleep bed    i stay home,😅,😅,1
60894,thank  😊 ,thank   😊  ,thank   ,😊,😊,1
60896,oh whoops sorry  😅 ,oh whoops sorry   😅  ,oh whoops sorry   ,😅,😅,1
60899,nice know time  😘 ,nice know time   😘  ,nice know time   ,😘,😘,1
60900,on way marketing meeting  😊 ,on way marketing meeting   😊  ,on way marketing meeting   ,😊,😊,1
60903,you legit big sister i  😌  amazing day dude  🙏🏽 ,you legit big sister i   😌   amazing day dude   🙏  🏽  ,you legit big sister i    amazing day dude   ,😌 🙏 🏽,😌,1
60906, 🤣 ,  🤣  ,  ,🤣,,1
60908,i believe a received hysterical  🤣 ,i believe a received hysterical   🤣  ,i believe a received hysterical   ,🤣,,1
60917,i think awesome going need time marvel brain  😆 ,i think awesome going need time marvel brain   😆  ,i think awesome going need time marvel brain   ,😆,😆,1
60926,been min  😅 ,been min   😅  ,been min   ,😅,😅,1
60929,you smile  😌 ,you smile   😌  ,you smile   ,😌,😌,1
60931,strange amazing i love  😍 ,strange amazing i love   😍  ,strange amazing i love   ,😍,😍,1
60932,just look happy beautiful  💛 ,just look happy beautiful   💛  ,just look happy beautiful   ,💛,,1
60933, 🤣 ,  🤣  ,  ,🤣,,1
60940,always look bright life  ☀️  motivation,always look bright life   ☀ ️  motivation,always look bright life  ️  motivation,☀,,1
60943,today like concern  😍  blessed,today like concern   😍   blessed,today like concern    blessed,😍,😍,1
60955,you look adorable  😉  trip canada,you look adorable   😉   trip canada,you look adorable    trip canada,😉,😉,1
60958,automatic good day  🎃  ecstatic,automatic good day   🎃   ecstatic,automatic good day    ecstatic,🎃,,1
60960,but arent talking font  😄 ,but arent talking font   😄  ,but arent talking font   ,😄,😄,1
60961,you like mask i smile  🙂  life love joy mask smile,you like mask i smile   🙂   life love joy mask smile,you like mask i smile    life love joy mask smile,🙂,,1
60963,explain thankful i i woke today its i need know blessed i truly  😍 ,explain thankful i i woke today its i need know blessed i truly   😍  ,explain thankful i i woke today its i need know blessed i truly   ,😍,😍,1
60966,whether glass half half grateful i glass theres optimism  🤔 ,whether glass half half grateful i glass theres optimism   🤔  ,whether glass half half grateful i glass theres optimism   ,🤔,,1
60976,now team ya  😃 ,now team ya   😃  ,now team ya   ,😃,😃,1
60977,absolutely loving people watching eclipse cheering sun for moon for wonder  💜  beautiful,absolutely loving people watching eclipse cheering sun for moon for wonder   💜   beautiful,absolutely loving people watching eclipse cheering sun for moon for wonder    beautiful,💜,,1
60985,pardon  😃 ,pardon   😃  ,pardon   ,😃,😃,1
60996,its time shine  😅 ,its time shine   😅  ,its time shine   ,😅,😅,1
60998,beyond  😂  case sad thing witness watch loving  😘   😋 ,beyond   😂   case sad thing witness watch loving   😘     😋  ,beyond    case sad thing witness watch loving      ,😂 😘 😋,😂 😘 😋,1
61001,whenever u bad day remember theres bitch stalking like religion ur happier  😘 ,whenever u bad day remember theres bitch stalking like religion ur happier   😘  ,whenever u bad day remember theres bitch stalking like religion ur happier   ,😘,😘,1
61003,memento ending  😄 ,memento ending   😄  ,memento ending   ,😄,😄,1
61004,my big day away  😱  excited,my big day away   😱   excited,my big day away    excited,😱,😱,1
61012,who knew feel good wonderful hour half interview  😁  smiling success,who knew feel good wonderful hour half interview   😁   smiling success,who knew feel good wonderful hour half interview    smiling success,😁,😁,1
61015,wise mean  😅 ,wise mean   😅  ,wise mean   ,😅,😅,1
61019,fell sofa laughing point the wee jump  😭 ,fell sofa laughing point the wee jump   😭  ,fell sofa laughing point the wee jump   ,😭,😭,1
61022,want u wonderful childhood ticer pun baa baa black sheep tu  😭  simply exposure,want u wonderful childhood ticer pun baa baa black sheep tu   😭   simply exposure,want u wonderful childhood ticer pun baa baa black sheep tu    simply exposure,😭,😭,1
61023,smith credit  😂  hilarious brilliant actress,smith credit   😂   hilarious brilliant actress,smith credit    hilarious brilliant actress,😂,😂,1
61035,i hope safe fantastic day  😊 ,i hope safe fantastic day   😊  ,i hope safe fantastic day   ,😊,😊,1
61036,thought gone play  🤣 ,thought gone play   🤣  ,thought gone play   ,🤣,,1
61040,happy birthday  😄  lucky blessed yes  😂 ,happy birthday   😄   lucky blessed yes   😂  ,happy birthday    lucky blessed yes   ,😄 😂,😄 😂,1
61043,we patient worth wait  😊 ,we patient worth wait   😊  ,we patient worth wait   ,😊,😊,1
61045,thanks maybe ill finally blessed  😭 ,thanks maybe ill finally blessed   😭  ,thanks maybe ill finally blessed   ,😭,😭,1
61046, 💖  relax,  💖   relax,   relax,💖,💖,1
61047,after days suffering dengue finally good going  😎  rejoice,after days suffering dengue finally good going   😎   rejoice,after days suffering dengue finally good going    rejoice,😎,😎,1
61048,stuffed airport hotel equivalent nice time your squad smile  😑 ,stuffed airport hotel equivalent nice time your squad smile   😑  ,stuffed airport hotel equivalent nice time your squad smile   ,😑,😑,1
61052,they adorable i need  😭 ,they adorable i need   😭  ,they adorable i need   ,😭,😭,1
61062,cut hairdresser  😂 ,cut hairdresser   😂  ,cut hairdresser   ,😂,😂,1
61071, 😅 ,  😅  ,  ,😅,😅,1
61074,u r extent u teasing  😃  u love,u r extent u teasing   😃   u love,u r extent u teasing    u love,😃,😃,1
61082,summer wait  😁  music,summer wait   😁   music,summer wait    music,😁,😁,1
61083,hi thats awesome thank  😄 ,hi thats awesome thank   😄  ,hi thats awesome thank   ,😄,😄,1
61087,stunner cute like mum  😃 ,stunner cute like mum   😃  ,stunner cute like mum   ,😃,😃,1
61096,too knew mum lived  😊  definitely best recently,too knew mum lived   😊   definitely best recently,too knew mum lived    definitely best recently,😊,😊,1
61097,yes i like idea waiting  😀 ,yes i like idea waiting   😀  ,yes i like idea waiting   ,😀,😀,1
61099, 😍  new maverick d recently watching,  😍   new maverick d recently watching,   new maverick d recently watching,😍,😍,1
61103,thank  💛 ,thank   💛  ,thank   ,💛,,1
61104,happy happy birthday girl brighten day thank ill  🤗 ,happy happy birthday girl brighten day thank ill   🤗  ,happy happy birthday girl brighten day thank ill   ,🤗,,1
61109,outlier fail  😄 ,outlier fail   😄  ,outlier fail   ,😄,😄,1
61110,like  😆 ,like   😆  ,like   ,😆,😆,1
61114,been spoilt got lip kit  😆 ,been spoilt got lip kit   😆  ,been spoilt got lip kit   ,😆,😆,1
61115,there comical funny corrupt rand bribe  😡 ,there comical funny corrupt rand bribe   😡  ,there comical funny corrupt rand bribe   ,😡,😡,1
61117,were interesting informative exhilarating  😄 ,were interesting informative exhilarating   😄  ,were interesting informative exhilarating   ,😄,😄,1
61119,ugh i contain excitement  😍 ,ugh i contain excitement   😍  ,ugh i contain excitement   ,😍,😍,1
61121,woke singing perfect  😊  my mood set  😍 ,woke singing perfect   😊   my mood set   😍  ,woke singing perfect    my mood set   ,😊 😍,😊 😍,1
61125,fan  😂 ,fan   😂  ,fan   ,😂,😂,1
61127,so glad i dont live i right my heart  😞 ,so glad i dont live i right my heart   😞  ,so glad i dont live i right my heart   ,😞,,1
61131,good morning family took time wish happy birthday thank  ❤  love blessed,good morning family took time wish happy birthday thank   ❤   love blessed,good morning family took time wish happy birthday thank    love blessed,❤,❤,1
61132,bless o burst bubble happiness pure bliss  🙏 ,bless o burst bubble happiness pure bliss   🙏  ,bless o burst bubble happiness pure bliss   ,🙏,,1
61141,i reading sense i left  😅 ,i reading sense i left   😅  ,i reading sense i left   ,😅,😅,1
61142,so excitement time week getting ready burn turn red  😂 ,so excitement time week getting ready burn turn red   😂  ,so excitement time week getting ready burn turn red   ,😂,😂,1
61151, 😂  he like sea weed version cousin it family tall,  😂   he like sea weed version cousin it family tall,   he like sea weed version cousin it family tall,😂,😂,1
61160,god way said line  😭   💔  amazing,god way said line   😭     💔   amazing,god way said line       amazing,😭 💔,😭 💔,1
61164,good morning  ❤️  start morning waking thinking grateful  🙏 ,good morning   ❤ ️  start morning waking thinking grateful   🙏  ,good morning  ️  start morning waking thinking grateful   ,❤ 🙏,❤,1
61165, 😊 ,  😊  ,  ,😊,😊,1
61166,thank  😃 ,thank   😃  ,thank   ,😃,😃,1
61170,ill travel time comes meet  😊 ,ill travel time comes meet   😊  ,ill travel time comes meet   ,😊,😊,1
61174,loving  😂 ,loving   😂  ,loving   ,😂,😂,1
61180,it away girl or  😂 ,it away girl or   😂  ,it away girl or   ,😂,😂,1
61181,missing look forward seeing soon  😀 ,missing look forward seeing soon   😀  ,missing look forward seeing soon   ,😀,😀,1
61184,well thank sincerely  😊 ,well thank sincerely   😊  ,well thank sincerely   ,😊,😊,1
61189,strapless wedding look awful people hough great  👌🏼 ,strapless wedding look awful people hough great   👌  🏼  ,strapless wedding look awful people hough great   ,👌 🏼,,1
61190,thats brilliant  😂  the music,thats brilliant   😂   the music,thats brilliant    the music,😂,😂,1
61193,spotted huge privacy issue  😱 ,spotted huge privacy issue   😱  ,spotted huge privacy issue   ,😱,😱,1
61195,they hetero guilty pleasure  😂 ,they hetero guilty pleasure   😂  ,they hetero guilty pleasure   ,😂,😂,1
61196,so saying mountain verifiable evidence fake news well theres surprise  🤣 ,so saying mountain verifiable evidence fake news well theres surprise   🤣  ,so saying mountain verifiable evidence fake news well theres surprise   ,🤣,,1
61204,supportive friend  😄 ,supportive friend   😄  ,supportive friend   ,😄,😄,1
61205,got work  😂 ,got work   😂  ,got work   ,😂,😂,1
61208,happy stopping wish great day ahead filled love miss  ❤ ,happy stopping wish great day ahead filled love miss   ❤  ,happy stopping wish great day ahead filled love miss   ,❤,❤,1
61211,y u  😘 ,y u   😘  ,y u   ,😘,😘,1
61213,beautiful  😍 ,beautiful   😍  ,beautiful   ,😍,😍,1
61222,the enjoyment seeing thing ex happen karma  😂 ,the enjoyment seeing thing ex happen karma   😂  ,the enjoyment seeing thing ex happen karma   ,😂,😂,1
61223,are u going airport  😃 ,are u going airport   😃  ,are u going airport   ,😃,😃,1
61228,finally brave comment  😅 ,finally brave comment   😅  ,finally brave comment   ,😅,😅,1
61230,sir  😃 ,sir   😃  ,sir   ,😃,😃,1
61235,if i pick id trouble i  🤣 ,if i pick id trouble i   🤣  ,if i pick id trouble i   ,🤣,,1
61237,before i understood happening id feel pang sadness parted  😥  bliss,before i understood happening id feel pang sadness parted   😥   bliss,before i understood happening id feel pang sadness parted    bliss,😥,😥,1
61247,a simple wallpaper  😂 ,a simple wallpaper   😂  ,a simple wallpaper   ,😂,😂,1
61251,dont forget eat dinner  😄 ,dont forget eat dinner   😄  ,dont forget eat dinner   ,😄,😄,1
61254,credit chocolate milk  🙏🏼  grateful,credit chocolate milk   🙏  🏼   grateful,credit chocolate milk    grateful,🙏 🏼,,1
61263,like working  🤣 ,like working   🤣  ,like working   ,🤣,,1
61264,idiot ni yen  😂  sorry kill joy,idiot ni yen   😂   sorry kill joy,idiot ni yen    sorry kill joy,😂,😂,1
61265,thank i excited ur feeling  😊 ,thank i excited ur feeling   😊  ,thank i excited ur feeling   ,😊,😊,1
61266,definitely agree  😊 ,definitely agree   😊  ,definitely agree   ,😊,😊,1
61273,i need hair i prob time but good morning  😘 ,i need hair i prob time but good morning   😘  ,i need hair i prob time but good morning   ,😘,😘,1
61287,id whip cake batter throw  😀  frangipani,id whip cake batter throw   😀   frangipani,id whip cake batter throw    frangipani,😀,😀,1
61293, 😆  point happen simultaneously its disappointing,  😆   point happen simultaneously its disappointing,   point happen simultaneously its disappointing,😆,😆,1
61301,delightful  😅 ,delightful   😅  ,delightful   ,😅,😅,1
61303,is fashion wear tight pants u camel toy  🤣  fashion girl girl pants fact,is fashion wear tight pants u camel toy   🤣   fashion girl girl pants fact,is fashion wear tight pants u camel toy    fashion girl girl pants fact,🤣,,1
61305,some people need learn smile  😁  laugh live life,some people need learn smile   😁   laugh live life,some people need learn smile    laugh live life,😁,😁,1
61306,so excited tonight i actually feel bit sick  😅 ,so excited tonight i actually feel bit sick   😅  ,so excited tonight i actually feel bit sick   ,😅,😅,1
61316,this officer hero  👏  adorable,this officer hero   👏   adorable,this officer hero    adorable,👏,,1
61329,he holding close wrapped shoulder holding theyre smiling living  ☺️ ,he holding close wrapped shoulder holding theyre smiling living   ☺ ️ ,he holding close wrapped shoulder holding theyre smiling living  ️ ,☺,☺,1
61337,always laugh cheap medicine  🤣 ,always laugh cheap medicine   🤣  ,always laugh cheap medicine   ,🤣,,1
61340,hello nice betty i wish wonderful  😀 ,hello nice betty i wish wonderful   😀  ,hello nice betty i wish wonderful   ,😀,😀,1
61343,coming race wait  😊  excitement,coming race wait   😊   excitement,coming race wait    excitement,😊,😊,1
61344,probably way funny i suppress giggle  😊 ,probably way funny i suppress giggle   😊  ,probably way funny i suppress giggle   ,😊,😊,1
61345,hope come do u central list lone gal trying avoid taxis  😉   🏰  history joy,hope come do u central list lone gal trying avoid taxis   😉     🏰   history joy,hope come do u central list lone gal trying avoid taxis       history joy,😉 🏰,😉,1
61350,you want slap  😂 ,you want slap   😂  ,you want slap   ,😂,😂,1
61356,happy birthday  😄 ,happy birthday   😄  ,happy birthday   ,😄,😄,1
61357,tu you laugh  🤣 ,tu you laugh   🤣  ,tu you laugh   ,🤣,,1
61361,i if wear hell want  😅 ,i if wear hell want   😅  ,i if wear hell want   ,😅,😅,1
61370,i seriously considering day stream day need  😂   😂  streaming day,i seriously considering day stream day need   😂     😂   streaming day,i seriously considering day stream day need       streaming day,😂 😂,😂 😂,1
61374,its good morning today feeling lively  😊  happy lively,its good morning today feeling lively   😊   happy lively,its good morning today feeling lively    happy lively,😊,😊,1
61377,yes man  😄 ,yes man   😄  ,yes man   ,😄,😄,1
61379,i love bad sure  😊  good good,i love bad sure   😊   good good,i love bad sure    good good,😊,😊,1
61383,never underestimate little voice reason good believe rise communicate respect love  😘 ,never underestimate little voice reason good believe rise communicate respect love   😘  ,never underestimate little voice reason good believe rise communicate respect love   ,😘,😘,1
61389,you know people refer hair mean right  🤣 ,you know people refer hair mean right   🤣  ,you know people refer hair mean right   ,🤣,,1
61396,south ill fall  😍  excitement,south ill fall   😍   excitement,south ill fall    excitement,😍,😍,1
61398,fun  😀  wait watch,fun   😀   wait watch,fun    wait watch,😀,😀,1
61399,concert today amazing confident funny  😍 ,concert today amazing confident funny   😍  ,concert today amazing confident funny   ,😍,😍,1
61401,laughter joy its good  ❤️  laughter,laughter joy its good   ❤ ️  laughter,laughter joy its good  ️  laughter,❤,❤,1
61402,i awesome  😄  also friend,i awesome   😄   also friend,i awesome    also friend,😄,😄,1
61407,love thanks smile going  💛  blessed  😊 ,love thanks smile going   💛   blessed   😊  ,love thanks smile going    blessed   ,💛 😊,😊,1
61413,sent sext vicar holy holy twist my bad joy laughter  😇 ,sent sext vicar holy holy twist my bad joy laughter   😇  ,sent sext vicar holy holy twist my bad joy laughter   ,😇,😇,1
61417,woke great mood ready work  😊 ,woke great mood ready work   😊  ,woke great mood ready work   ,😊,😊,1
61419,hi thats awesome thank  😄 ,hi thats awesome thank   😄  ,hi thats awesome thank   ,😄,😄,1
61420,you dont feel like talking suddenly comes spend talking laughing cheering  💕 ,you dont feel like talking suddenly comes spend talking laughing cheering   💕  ,you dont feel like talking suddenly comes spend talking laughing cheering   ,💕,💕,1
61424,choose laugh  😂 ,choose laugh   😂  ,choose laugh   ,😂,😂,1
61435,adorable  😭 ,adorable   😭  ,adorable   ,😭,😭,1
61440,somebody president laugh i morning  😭 ,somebody president laugh i morning   😭  ,somebody president laugh i morning   ,😭,😭,1
61449,i glad hear  😊 ,i glad hear   😊  ,i glad hear   ,😊,😊,1
61450,thanks will team laughter  😀 ,thanks will team laughter   😀  ,thanks will team laughter   ,😀,😀,1
61451,these laundry  🤣 ,these laundry   🤣  ,these laundry   ,🤣,,1
61456,such amazing pic  😍 ,such amazing pic   😍  ,such amazing pic   ,😍,😍,1
61460,happy birthday stay awesome  👍🏻 ,happy birthday stay awesome   👍  🏻  ,happy birthday stay awesome   ,👍 🏻,,1
61461,thank glad enjoying  😃 ,thank glad enjoying   😃  ,thank glad enjoying   ,😃,😃,1
61470,the eclipse like wont deal relieved  🙄 ,the eclipse like wont deal relieved   🙄  ,the eclipse like wont deal relieved   ,🙄,,1
61473,and saw comment i sent thanks message  😀 ,and saw comment i sent thanks message   😀  ,and saw comment i sent thanks message   ,😀,😀,1
61479,work good half  🙃 ,work good half   🙃  ,work good half   ,🙃,,1
61486, 🤣 ,  🤣  ,  ,🤣,,1
61506,lost happiness earphone thing music soon  😑 ,lost happiness earphone thing music soon   😑  ,lost happiness earphone thing music soon   ,😑,😑,1
61514,good place right happy  💛  i share optimism,good place right happy   💛   i share optimism,good place right happy    i share optimism,💛,,1
61518,bit funny i better  😊 ,bit funny i better   😊  ,bit funny i better   ,😊,😊,1
61519,simply amazing people twist  😅 ,simply amazing people twist   😅  ,simply amazing people twist   ,😅,😅,1
61521,one matter enter sandman unforgiving awesome  😊 ,one matter enter sandman unforgiving awesome   😊  ,one matter enter sandman unforgiving awesome   ,😊,😊,1
61538,dont throw near like compliment  🐙  jaunty,dont throw near like compliment   🐙   jaunty,dont throw near like compliment    jaunty,🐙,,1
61545,away  😀  whisky humour,away   😀   whisky humour,away    whisky humour,😀,😀,1
61547,id leave couch excited weary  ❤️ ,id leave couch excited weary   ❤ ️ ,id leave couch excited weary  ️ ,❤,❤,1
61549,a pleasure  ☺  directory great way start exploring new,a pleasure   ☺   directory great way start exploring new,a pleasure    directory great way start exploring new,☺,☺,1
61556,rumor awesome truth big  😲  know bunch,rumor awesome truth big   😲   know bunch,rumor awesome truth big    know bunch,😲,,1
61557,there million people us ha you real popular  😅 ,there million people us ha you real popular   😅  ,there million people us ha you real popular   ,😅,😅,1
61568,may new update bloody  😆 ,may new update bloody   😆  ,may new update bloody   ,😆,😆,1
61572,you relationship hoe life dont laugh  😆 ,you relationship hoe life dont laugh   😆  ,you relationship hoe life dont laugh   ,😆,😆,1
61575,movie day favorite today  😄  god i love bean,movie day favorite today   😄   god i love bean,movie day favorite today    god i love bean,😄,😄,1
61578,yeah funny sexy  😍 ,yeah funny sexy   😍  ,yeah funny sexy   ,😍,😍,1
61583,that brown waist coat no  😂 ,that brown waist coat no   😂  ,that brown waist coat no   ,😂,😂,1
61587,i sad i missing ice cream today fair brought work  🤗 ,i sad i missing ice cream today fair brought work   🤗  ,i sad i missing ice cream today fair brought work   ,🤗,,1
61589,oh art wonderful  😭 ,oh art wonderful   😭  ,oh art wonderful   ,😭,😭,1
61592,but delight law lord and his law  🌁 ,but delight law lord and his law   🌁  ,but delight law lord and his law   ,🌁,,1
61598,i  😭  i blessed i support love i thank,i   😭   i blessed i support love i thank,i    i blessed i support love i thank,😭,😭,1
61601,i understand question coming theyll  😄 ,i understand question coming theyll   😄  ,i understand question coming theyll   ,😄,😄,1
61604,wow  😍  this wonderfully exciting would happy treat win  ✨  thank chance following  😀 ,wow   😍   this wonderfully exciting would happy treat win   ✨   thank chance following   😀  ,wow    this wonderfully exciting would happy treat win    thank chance following   ,😍 ✨ 😀,😍 😀,1
61609,ill question ready its directed dont shy respond  😀 ,ill question ready its directed dont shy respond   😀  ,ill question ready its directed dont shy respond   ,😀,😀,1
61619,you truly decide happiness  😊 ,you truly decide happiness   😊  ,you truly decide happiness   ,😊,😊,1
61621,you ordered baby want chef  🤣 ,you ordered baby want chef   🤣  ,you ordered baby want chef   ,🤣,,1
61623, 😄 ,  😄  ,  ,😄,😄,1
61628,oh home actually figure life brilliant  😟 ,oh home actually figure life brilliant   😟  ,oh home actually figure life brilliant   ,😟,,1
61629,i know  😄 ,i know   😄  ,i know   ,😄,😄,1
61632,you need  🤣 ,you need   🤣  ,you need   ,🤣,,1
61636,easy day school today rehearsal tomorrow excited play nancy straight new project  😍 ,easy day school today rehearsal tomorrow excited play nancy straight new project   😍  ,easy day school today rehearsal tomorrow excited play nancy straight new project   ,😍,😍,1
61644,to good picture  😍 ,to good picture   😍  ,to good picture   ,😍,😍,1
61645,the way laughing tho  😆 ,the way laughing tho   😆  ,the way laughing tho   ,😆,😆,1
61646,just  😄  cress lunar good character absolutely adorable,just   😄   cress lunar good character absolutely adorable,just    cress lunar good character absolutely adorable,😄,😄,1
61648,dabbler glad meet  😊 ,dabbler glad meet   😊  ,dabbler glad meet   ,😊,😊,1
61651,good morning welcome awesome lady  🤗   😍 ,good morning welcome awesome lady   🤗     😍  ,good morning welcome awesome lady      ,🤗 😍,😍,1
61652,happy birthday mate  ❤  hope amazing day,happy birthday mate   ❤   hope amazing day,happy birthday mate    hope amazing day,❤,❤,1
61656,i skip score finding fully si horse fun i added arena  🤣 ,i skip score finding fully si horse fun i added arena   🤣  ,i skip score finding fully si horse fun i added arena   ,🤣,,1
61659,geek  😄 ,geek   😄  ,geek   ,😄,😄,1
61669,laughing way bank paying  💰   💰   💰 ,laughing way bank paying   💰     💰     💰  ,laughing way bank paying         ,💰 💰 💰,,1
61684,i meet tho  😅 ,i meet tho   😅  ,i meet tho   ,😅,😅,1
61686,some white joy thought broke  😂 ,some white joy thought broke   😂  ,some white joy thought broke   ,😂,😂,1
61687,sure  😀 ,sure   😀  ,sure   ,😀,😀,1
61691,good afternoon  😊 ,good afternoon   😊  ,good afternoon   ,😊,😊,1
61692,not kind  😅  but i dont need i feel appreciation fellow day  😊 ,not kind   😅   but i dont need i feel appreciation fellow day   😊  ,not kind    but i dont need i feel appreciation fellow day   ,😅 😊,😅 😊,1
61693,so good lunch  😊 ,so good lunch   😊  ,so good lunch   ,😊,😊,1
61694,senior lecturer well deserved  😄 ,senior lecturer well deserved   😄  ,senior lecturer well deserved   ,😄,😄,1
61696,wishing joyful day great food wine company  👌 ,wishing joyful day great food wine company   👌  ,wishing joyful day great food wine company   ,👌,,1
61707,i start program  😌  blessed,i start program   😌   blessed,i start program    blessed,😌,😌,1
61721,handwriting beautiful  😭 ,handwriting beautiful   😭  ,handwriting beautiful   ,😭,😭,1
61724,personal freedom inflict unspeakable cruelty pleasure amazing  🙃 ,personal freedom inflict unspeakable cruelty pleasure amazing   🙃  ,personal freedom inflict unspeakable cruelty pleasure amazing   ,🙃,,1
61726,genius love poster  😃  the excitement  😃 ,genius love poster   😃   the excitement   😃  ,genius love poster    the excitement   ,😃 😃,😃 😃,1
61727,party cheer song  ✨ ,party cheer song   ✨  ,party cheer song   ,✨,,1
61728,stranger teaser excited  😲 ,stranger teaser excited   😲  ,stranger teaser excited   ,😲,,1
61729,why afraid ate but did eat eat squared day  😜  funny,why afraid ate but did eat eat squared day   😜   funny,why afraid ate but did eat eat squared day    funny,😜,😜,1
